Song,Artist,URL
ดวงจันทร์กลางวัน,Getsunova,https://www.music-yours.com/pdf/Getsunova%20x%20Violette%20Wautier%20-%20duangchan%20klangwan%20Aftermoon.pdf
ภาวนา,ME YOU,https://www.music-yours.com/pdf/MEYOU%20-%20phawana.pdf
ไม่ไหวบอกไหว,Boy Peachmaker,https://www.music-yours.com/pdf/boy%20Peacemaker%20-%20mai%20wai%20bok%20wai.pdf
ดีใจด้วยนะ,INK WARANTORN,https://www.music-yours.com/pdf/Ink%20Waruntorn%20-%20dichai%20duai%20na.pdf
ทางผ่าน,PURE,http://www.music-yours.com/pdf/Pure%20-%20thangphan.pdf
เรา,Cocktail,https://www.music-yours.com/pdf/Cocktail%20-%20rao.pdf
